ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011001;Masculino;16;5;4;4;3;2;4;3;3;2;3;4;2;2;3;5
10011002;Masculino;16;5;4;4;4;3;3;2;4;3;4;3;4;3;4;5
10011003;Masculino;18;3;4;3;3;4;2;4;3;2;2;3;2;3;3;5
10011004;Masculino;21;1;3;3;4;4;2;2;2;2;2;4;4;4;4;5
10011005;Femenino;21;4;4;4;5;5;4;4;3;4;4;5;5;5;3;5
10011006;Masculino;21;2;3;2;3;3;3;1;4;3;5;1;2;4;1;5
10011007;Femenino;21;3;3;4;3;3;3;4;4;5;3;3;5;3;4;5
10011008;Masculino;21;2;3;3;4;4;4;5;5;5;5;5;5;5;3;5
10011009;Femenino;21;5;5;5;5;4;4;4;4;4;4;3;4;5;5;5
10011010;Masculino;21;1;3;4;4;3;3;3;4;2;2;5;5;5;5;5
10011011;Femenino;19;3;5;4;4;4;3;3;3;3;3;3;3;4;4;5
10011012;Masculino;21;3;3;4;3;4;3;3;3;3;4;3;4;4;3;5
10011013;Femenino;21;4;4;4;3;3;4;4;3;4;4;4;4;4;4;5
10011014;Masculino;21;4;1;1;5;3;5;2;3;3;4;2;4;2;5;5
10011015;Masculino;19;3;4;3;1;2;5;5;4;4;5;5;5;5;5;5
10011016;Masculino;10;5;5;5;5;5;4;3;5;2;4;5;2;4;3;5
10011017;Femenino;20;1;5;5;2;1;3;5;5;5;5;5;5;5;4;5
10011018;Femenino;21;3;3;3;3;2;5;4;4;4;3;4;4;4;4;5
10011019;Femenino;20;4;4;4;5;5;3;3;1;2;3;3;3;3;1;5
10011020;Femenino;20;4;3;3;4;3;4;4;3;5;3;3;3;2;4;5
10011021;Masculino;21;4;4;4;4;2;3;3;3;3;4;3;3;3;3;5
10011022;Femenino;18;3;2;5;4;4;4;4;3;3;3;3;4;5;3;5
10011023;Femenino;20;5;5;5;3;2;5;5;5;5;5;5;5;5;4;5
10011024;Masculino;20;2;3;5;5;3;1;2;2;1;4;1;1;4;4;5
10011025;Femenino;20;3;4;4;3;4;3;4;2;2;4;2;1;4;3;5
10011026;Femenino;21;4;4;4;4;3;4;4;2;3;3;4;4;4;4;5
10011027;Femenino;20;5;3;3;2;2;3;5;3;3;5;5;4;3;4;5
10011028;Masculino;21;3;5;3;4;2;4;3;4;3;1;3;3;3;2;5
10011029;Femenino;20;3;2;4;3;2;5;4;3;3;4;4;2;4;2;5
10011030;Masculino;20;2;3;3;2;2;3;4;4;2;4;4;4;5;5;5
10011031;Masculino;19;3;3;4;2;1;4;4;4;3;4;4;4;3;4;5
10011032;Masculino;20;4;4;3;2;3;4;4;3;4;3;4;4;4;4;5
10011033;Masculino;20;4;2;3;5;5;3;3;2;5;4;3;3;3;2;5
10011034;Femenino;21;3;5;2;3;3;4;3;4;3;4;4;4;3;4;5
10011035;Femenino;19;2;4;3;3;4;2;3;2;2;2;5;5;5;5;5
10011036;Femenino;17;2;5;5;3;5;2;3;1;2;1;3;3;5;2;5
10011037;Femenino;17;5;4;4;5;3;5;4;5;5;1;5;5;5;4;5
10011038;Masculino;19;2;2;3;3;2;5;2;2;2;2;3;2;5;5;5
10011039;Masculino;21;4;3;4;1;2;4;5;3;4;4;5;5;5;5;5
10011040;Masculino;19;5;5;5;1;1;5;5;1;5;5;5;5;3;5;5
10011041;Masculino;19;5;4;4;2;2;5;5;5;5;5;5;5;5;4;5
10011042;Masculino;19;3;3;3;3;3;3;3;3;3;3;5;4;3;4;5
10011043;Masculino;21;3;2;3;5;3;4;4;4;4;5;4;5;4;3;5
10011044;Femenino;18;4;4;3;3;3;3;3;3;2;3;4;4;4;2;5
10011045;Femenino;21;3;4;4;3;4;3;3;3;3;3;3;4;4;3;5
10011046;Masculino;20;3;2;2;1;3;4;5;3;3;3;3;4;5;4;5
10011047;Masculino;21;2;4;5;2;1;4;5;4;5;5;5;5;5;5;5
10011048;Masculino;21;2;3;3;3;3;3;3;4;5;3;3;3;3;3;5
10011049;Masculino;21;2;3;4;3;2;4;4;3;4;4;5;5;5;5;5
10011050;Masculino;21;1;4;4;3;3;3;3;3;3;4;3;4;5;4;5
10011051;Femenino;21;5;3;5;5;5;5;3;3;2;3;2;2;5;4;5
10011052;Femenino;18;5;3;3;2;3;4;4;4;5;1;3;4;5;2;5
10011053;Femenino;21;4;2;5;2;2;4;5;2;5;4;4;2;4;4;5
10011054;Masculino;18;3;4;4;3;4;3;3;2;3;4;3;2;3;3;5
10011055;Masculino;18;3;3;4;3;2;2;2;3;2;4;4;4;4;4;5
10011056;Masculino;19;3;4;4;4;3;3;2;4;2;2;3;3;4;3;5
10011057;Masculino;20;3;2;2;2;2;2;3;2;3;3;2;2;3;3;5
10011058;Masculino;20;3;2;2;2;2;2;3;2;3;3;2;2;3;3;5
10011059;Masculino;20;4;4;3;3;4;4;3;2;3;3;3;3;3;3;5
10011060;Masculino;20;3;3;3;4;2;2;2;2;3;3;3;2;2;2;5
10011061;Masculino;20;3;3;3;4;2;2;2;2;3;3;3;2;2;2;5
10011062;Masculino;20;2;4;4;5;5;4;3;3;3;2;2;2;2;3;5
10011063;Masculino;20;2;3;3;2;2;3;2;2;1;3;2;3;3;2;5
10011064;Masculino;21;2;3;4;2;2;1;2;2;1;2;2;3;3;3;5
10011065;Masculino;21;3;2;3;3;2;3;3;2;2;3;2;2;2;4;5
