idestudiante;almuerzo;Curso de preparacion para examenes;Nivel de educacion de los padres;Raza/etnia
10011001;Pago/Premiun;ninguna;licenciatura;group B
10011002;Pago/Premiun;completado;alguna educacion superior;group C
10011003;Pago/Premiun;ninguna;maestria;group B
10011004;Gratis/Reducido;ninguna;grado asociado;group A
10011005;Pago/Premiun;ninguna;alguna educacion superior;group C
10011006;Pago/Premiun;ninguna;grado asociado;group B
10011007;Pago/Premiun;completado;alguna educacion superior;group B
10011008;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011009;Gratis/Reducido;completado;escuela secundaria;group D
10011010;Gratis/Reducido;ninguna;escuela secundaria;group B
10011011;Pago/Premiun;ninguna;grado asociado;group C
10011012;Pago/Premiun;ninguna;grado asociado;group D
10011013;Pago/Premiun;ninguna;escuela secundaria;group B
10011014;Pago/Premiun;completado;alguna educacion superior;group A
10011015;Pago/Premiun;ninguna;maestria;group A
10011016;Pago/Premiun;ninguna;algun instituto;group C
10011017;Pago/Premiun;ninguna;escuela secundaria;group C
10011018;Gratis/Reducido;ninguna;algun instituto;group B
10011019;Gratis/Reducido;completado;maestria;group C
10011020;Gratis/Reducido;ninguna;grado asociado;group C
10011021;Pago/Premiun;ninguna;escuela secundaria;group D
10011022;Gratis/Reducido;completado;alguna educacion superior;group B
10011023;Pago/Premiun;ninguna;alguna educacion superior;group D
10011024;Pago/Premiun;ninguna;algun instituto;group C
10011025;Gratis/Reducido;completado;licenciatura;group D
10011026;Gratis/Reducido;ninguna;maestria;group A
10011027;Pago/Premiun;ninguna;alguna educacion superior;group B
10011028;Pago/Premiun;ninguna;licenciatura;group C
10011029;Pago/Premiun;ninguna;escuela secundaria;group C
10011030;Pago/Premiun;ninguna;maestria;group D
10011031;Pago/Premiun;ninguna;alguna educacion superior;group D
10011032;Pago/Premiun;ninguna;alguna educacion superior;group B
10011033;Gratis/Reducido;ninguna;maestria;group E
10011034;Pago/Premiun;ninguna;alguna educacion superior;group D
10011035;Pago/Premiun;ninguna;alguna educacion superior;group E
10011036;Pago/Premiun;completado;grado asociado;group E
10011037;Pago/Premiun;ninguna;grado asociado;group D
10011038;Gratis/Reducido;ninguna;algun instituto;group D
10011039;Gratis/Reducido;completado;grado asociado;group D
10011040;Gratis/Reducido;ninguna;grado asociado;group B
10011041;Gratis/Reducido;ninguna;grado asociado;group C
10011042;Pago/Premiun;ninguna;grado asociado;group C
10011043;Pago/Premiun;ninguna;grado asociado;group B
10011044;Gratis/Reducido;completado;alguna educacion superior;group B
10011045;Gratis/Reducido;ninguna;grado asociado;group E
10011046;Pago/Premiun;ninguna;grado asociado;group B
10011047;Pago/Premiun;completado;grado asociado;group A
10011048;Pago/Premiun;ninguna;escuela secundaria;group C
10011049;Gratis/Reducido;completado;grado asociado;group D
10011050;Pago/Premiun;completado;escuela secundaria;group C
10011051;Pago/Premiun;ninguna;alguna educacion superior;group E
10011052;Gratis/Reducido;completado;grado asociado;group E
10011053;Pago/Premiun;ninguna;alguna educacion superior;group C
10011054;Pago/Premiun;ninguna;escuela secundaria;group D
10011055;Gratis/Reducido;completado;algun instituto;group C
10011056;Gratis/Reducido;ninguna;escuela secundaria;group C
10011057;Pago/Premiun;completado;grado asociado;group E
10011058;Pago/Premiun;ninguna;grado asociado;group D
10011059;Pago/Premiun;completado;alguna educacion superior;group D
10011060;Gratis/Reducido;ninguna;algun instituto;group C
10011061;Gratis/Reducido;completado;licenciatura;group E
10011062;Gratis/Reducido;ninguna;algun instituto;group A
10011063;Gratis/Reducido;ninguna;grado asociado;group A
10011064;Pago/Premiun;ninguna;grado asociado;group C
10011065;Pago/Premiun;ninguna;algun instituto;group D
10011066;Pago/Premiun;ninguna;algun instituto;group B
10011067;Gratis/Reducido;ninguna;algun instituto;group D
10011068;Pago/Premiun;ninguna;alguna educacion superior;group C
10011069;Gratis/Reducido;ninguna;grado asociado;group B
10011070;Pago/Premiun;ninguna;grado asociado;group C
10011071;Gratis/Reducido;completado;alguna educacion superior;group D
10011072;Pago/Premiun;completado;alguna educacion superior;group D
