Puntuacion;idestudiante;area
72;10011001;Matematicas
69;10011002;Matematicas
90;10011003;Matematicas
47;10011004;Matematicas
76;10011005;Matematicas
71;10011006;Matematicas
88;10011007;Matematicas
40;10011008;Matematicas
64;10011009;Matematicas
38;10011010;Matematicas
58;10011011;Matematicas
40;10011012;Matematicas
65;10011013;Matematicas
78;10011014;Matematicas
50;10011015;Matematicas
69;10011016;Matematicas
88;10011017;Matematicas
18;10011018;Matematicas
46;10011019;Matematicas
54;10011020;Matematicas
66;10011021;Matematicas
65;10011022;Matematicas
44;10011023;Matematicas
69;10011024;Matematicas
74;10011025;Matematicas
73;10011026;Matematicas
69;10011027;Matematicas
67;10011028;Matematicas
70;10011029;Matematicas
62;10011030;Matematicas
69;10011031;Matematicas
63;10011032;Matematicas
56;10011033;Matematicas
40;10011034;Matematicas
97;10011035;Matematicas
81;10011036;Matematicas
74;10011037;Matematicas
50;10011038;Matematicas
75;10011039;Matematicas
57;10011040;Matematicas
55;10011041;Matematicas
58;10011042;Matematicas
53;10011043;Matematicas
59;10011044;Matematicas
50;10011045;Matematicas
65;10011046;Matematicas
55;10011047;Matematicas
66;10011048;Matematicas
57;10011049;Matematicas
82;10011050;Matematicas
53;10011051;Matematicas
77;10011052;Matematicas
53;10011053;Matematicas
88;10011054;Matematicas
71;10011055;Matematicas
33;10011056;Matematicas
82;10011057;Matematicas
52;10011058;Matematicas
58;10011059;Matematicas
0;10011060;Matematicas
79;10011061;Matematicas
39;10011062;Matematicas
62;10011063;Matematicas
69;10011064;Matematicas
59;10011065;Matematicas
67;10011066;Matematicas
45;10011067;Matematicas
60;10011068;Matematicas
61;10011069;Matematicas
39;10011070;Matematicas
58;10011071;Matematicas
63;10011072;Matematicas
41;10011073;Matematicas
61;10011074;Matematicas
49;10011075;Matematicas
44;10011076;Matematicas
30;10011077;Matematicas
80;10011078;Matematicas
61;10011079;Matematicas
62;10011080;Matematicas
47;10011081;Matematicas
49;10011082;Matematicas
50;10011083;Matematicas
72;10011084;Matematicas
42;10011085;Matematicas
73;10011086;Matematicas
76;10011087;Matematicas
71;10011088;Matematicas
58;10011089;Matematicas
73;10011090;Matematicas
65;10011091;Matematicas
27;10011092;Matematicas
71;10011093;Matematicas
43;10011094;Matematicas
79;10011095;Matematicas
78;10011096;Matematicas
65;10011097;Matematicas
63;10011098;Matematicas
58;10011099;Matematicas
65;10011100;Matematicas
79;10011101;Matematicas
68;10011102;Matematicas
85;10011103;Matematicas
60;10011104;Matematicas
98;10011105;Matematicas
58;10011106;Matematicas
87;10011107;Matematicas
66;10011108;Matematicas
52;10011109;Matematicas
70;10011110;Matematicas
77;10011111;Matematicas
62;10011112;Matematicas
54;10011113;Matematicas
51;10011114;Matematicas
99;10011115;Matematicas
84;10011116;Matematicas
75;10011117;Matematicas
78;10011118;Matematicas
51;10011119;Matematicas
55;10011120;Matematicas
79;10011121;Matematicas
91;10011122;Matematicas
88;10011123;Matematicas
63;10011124;Matematicas
83;10011125;Matematicas
87;10011126;Matematicas
72;10011127;Matematicas
65;10011128;Matematicas
82;10011129;Matematicas
51;10011130;Matematicas
89;10011131;Matematicas
53;10011132;Matematicas
87;10011133;Matematicas
75;10011134;Matematicas
74;10011135;Matematicas
58;10011136;Matematicas
51;10011137;Matematicas
70;10011138;Matematicas
59;10011139;Matematicas
71;10011140;Matematicas
76;10011141;Matematicas
59;10011142;Matematicas
42;10011143;Matematicas
57;10011144;Matematicas
88;10011145;Matematicas
22;10011146;Matematicas
88;10011147;Matematicas
73;10011148;Matematicas
68;10011149;Matematicas
100;10011150;Matematicas
62;10011151;Matematicas
77;10011152;Matematicas
59;10011153;Matematicas
54;10011154;Matematicas
62;10011155;Matematicas
70;10011156;Matematicas
66;10011157;Matematicas
60;10011158;Matematicas
61;10011159;Matematicas
66;10011160;Matematicas
82;10011161;Matematicas
75;10011162;Matematicas
49;10011163;Matematicas
52;10011164;Matematicas
81;10011165;Matematicas
96;10011166;Matematicas
53;10011167;Matematicas
58;10011168;Matematicas
68;10011169;Matematicas
67;10011170;Matematicas
72;10011171;Matematicas
94;10011172;Matematicas
79;10011173;Matematicas
63;10011174;Matematicas
43;10011175;Matematicas
81;10011176;Matematicas
46;10011177;Matematicas
71;10011178;Matematicas
52;10011179;Matematicas
97;10011180;Matematicas
62;10011181;Matematicas
46;10011182;Matematicas
50;10011183;Matematicas
65;10011184;Matematicas
45;10011185;Matematicas
65;10011186;Matematicas
80;10011187;Matematicas
62;10011188;Matematicas
48;10011189;Matematicas
77;10011190;Matematicas
66;10011191;Matematicas
76;10011192;Matematicas
62;10011193;Matematicas
77;10011194;Matematicas
69;10011195;Matematicas
61;10011196;Matematicas
59;10011197;Matematicas
55;10011198;Matematicas
45;10011199;Matematicas
78;10011200;Matematicas
67;10011201;Matematicas
65;10011202;Matematicas
69;10011203;Matematicas
57;10011204;Matematicas
59;10011205;Matematicas
74;10011206;Matematicas
82;10011207;Matematicas
81;10011208;Matematicas
74;10011209;Matematicas
58;10011210;Matematicas
80;10011211;Matematicas
35;10011212;Matematicas
42;10011213;Matematicas
60;10011214;Matematicas
87;10011215;Matematicas
84;10011216;Matematicas
83;10011217;Matematicas
34;10011218;Matematicas
66;10011219;Matematicas
61;10011220;Matematicas
56;10011221;Matematicas
87;10011222;Matematicas
55;10011223;Matematicas
86;10011224;Matematicas
52;10011225;Matematicas
45;10011226;Matematicas
72;10011227;Matematicas
57;10011228;Matematicas
68;10011229;Matematicas
88;10011230;Matematicas
76;10011231;Matematicas
46;10011232;Matematicas
67;10011233;Matematicas
92;10011234;Matematicas
83;10011235;Matematicas
80;10011236;Matematicas
63;10011237;Matematicas
64;10011238;Matematicas
54;10011239;Matematicas
84;10011240;Matematicas
73;10011241;Matematicas
80;10011242;Matematicas
56;10011243;Matematicas
59;10011244;Matematicas
75;10011245;Matematicas
85;10011246;Matematicas
89;10011247;Matematicas
58;10011248;Matematicas
65;10011249;Matematicas
68;10011250;Matematicas
47;10011251;Matematicas
71;10011252;Matematicas
60;10011253;Matematicas
80;10011254;Matematicas
54;10011255;Matematicas
62;10011256;Matematicas
64;10011257;Matematicas
78;10011258;Matematicas
70;10011259;Matematicas
65;10011260;Matematicas
64;10011261;Matematicas
79;10011262;Matematicas
44;10011263;Matematicas
99;10011264;Matematicas
76;10011265;Matematicas
59;10011266;Matematicas
63;10011267;Matematicas
69;10011268;Matematicas
88;10011269;Matematicas
71;10011270;Matematicas
69;10011271;Matematicas
58;10011272;Matematicas
47;10011273;Matematicas
65;10011274;Matematicas
88;10011275;Matematicas
83;10011276;Matematicas
85;10011277;Matematicas
59;10011278;Matematicas
65;10011279;Matematicas
73;10011280;Matematicas
53;10011281;Matematicas
45;10011282;Matematicas
73;10011283;Matematicas
70;10011284;Matematicas
37;10011285;Matematicas
81;10011286;Matematicas
97;10011287;Matematicas
67;10011288;Matematicas
88;10011289;Matematicas
77;10011290;Matematicas
76;10011291;Matematicas
86;10011292;Matematicas
63;10011293;Matematicas
65;10011294;Matematicas
78;10011295;Matematicas
67;10011296;Matematicas
46;10011297;Matematicas
71;10011298;Matematicas
40;10011299;Matematicas
90;10011300;Matematicas
81;10011301;Matematicas
56;10011302;Matematicas
67;10011303;Matematicas
80;10011304;Matematicas
74;10011305;Matematicas
69;10011306;Matematicas
99;10011307;Matematicas
51;10011308;Matematicas
53;10011309;Matematicas
49;10011310;Matematicas
73;10011311;Matematicas
66;10011312;Matematicas
67;10011313;Matematicas
68;10011314;Matematicas
59;10011315;Matematicas
71;10011316;Matematicas
77;10011317;Matematicas
83;10011318;Matematicas
63;10011319;Matematicas
56;10011320;Matematicas
67;10011321;Matematicas
75;10011322;Matematicas
71;10011323;Matematicas
43;10011324;Matematicas
41;10011325;Matematicas
82;10011326;Matematicas
61;10011327;Matematicas
28;10011328;Matematicas
82;10011329;Matematicas
41;10011330;Matematicas
71;10011331;Matematicas
47;10011332;Matematicas
62;10011333;Matematicas
90;10011334;Matematicas
83;10011335;Matematicas
61;10011336;Matematicas
76;10011337;Matematicas
49;10011338;Matematicas
24;10011339;Matematicas
35;10011340;Matematicas
58;10011341;Matematicas
61;10011342;Matematicas
69;10011343;Matematicas
